Country,Individualism Score,Democracy Index,Density (P/Km2),Land Area (Km2),Urban Population (%),CPI,CPI Change (%),Life Expectancy,Tax revenue (%)
Albania,20,6.41,105.0,28748.0,1747593.0,119.05,1.4,78.5,18.6
Algeria,35,3.66,18.0,2381741.0,31510100.0,151.36,2.0,76.7,37.2
Angola,18,3.96,26.0,1246700.0,21061025.0,261.73,17.1,60.8,9.2
Argentina,46,6.85,17.0,2780400.0,41339571.0,232.75,53.5,76.5,10.1
Armenia,22,5.63,104.0,29743.0,1869848.0,129.18,1.4,74.9,20.9
Australia,90,8.71,3.0,7741220.0,21844756.0,119.8,1.6,82.7,23.0
Austria,55,8.2,109.0,83871.0,5194416.0,118.06,1.5,81.6,25.4
Azerbaijan,50,2.87,123.0,86600.0,5616165.0,156.32,2.6,72.9,13.0
Bangladesh,20,5.99,1265.0,148460.0,60987417.0,179.68,5.6,72.3,8.8
Belarus,25,1.99,47.0,207600.0,7482982.0,,5.6,74.2,14.7
Belgium,75,7.64,383.0,30528.0,11259082.0,117.11,1.4,81.6,24.0
Bhutan,52,5.54,20.0,38394.0,317538.0,167.18,2.7,71.5,16.0
Bolivia,10,4.51,11.0,1098581.0,8033035.0,148.32,1.8,71.2,17.0
Bosnia and Herzegovina,22,5.0,64.0,51197.0,1605144.0,104.9,0.6,77.3,20.4
Brazil,38,6.78,25.0,8515770.0,183241641.0,167.4,3.7,75.7,14.2
Bulgaria,30,6.53,64.0,110879.0,5256027.0,114.42,3.1,74.9,20.2
Burkina Faso,15,3.08,76.0,274200.0,6092349.0,106.58,-3.2,61.2,15.0
Cape Verde,20,7.65,138.0,4033.0,364029.0,110.5,1.1,72.8,20.1
Canada,80,8.88,4.0,9984670.0,30628482.0,116.76,1.9,81.9,12.8
Chile,23,8.22,26.0,756096.0,16610135.0,131.91,2.6,80.0,18.2
China,20,1.94,153.0,9596960.0,842933962.0,125.08,2.9,77.0,9.4
Colombia,13,6.72,46.0,1138910.0,40827302.0,140.95,3.5,77.1,14.4
Costa Rica,15,8.29,100.0,51100.0,4041885.0,128.85,2.1,80.1,13.6
Croatia,33,6.5,73.0,56594.0,2328318.0,109.82,0.8,78.1,22.0
Denmark,74,9.28,137.0,43094.0,5119978.0,110.35,0.8,81.0,32.4
Dominican Republic,30,6.39,225.0,48670.0,8787475.0,135.5,1.8,73.9,13.0
Ecuador,8,5.69,71.0,283561.0,11116711.0,124.14,0.3,76.8,
Egypt,37,2.93,103.0,1001450.0,42895824.0,288.57,9.2,71.8,12.5
El Salvador,19,5.06,313.0,21041.0,4694702.0,111.23,0.1,73.1,18.1
Estonia,60,7.96,31.0,45228.0,916024.0,122.14,2.3,78.2,20.9
Ethiopia,20,3.17,115.0,1104300.0,23788710.0,143.86,15.8,66.2,7.5
Fiji,14,5.55,49.0,18274.0,505048.0,132.3,1.8,67.3,24.2
Finland,63,9.29,18.0,338145.0,4716888.0,112.33,1.0,81.7,20.8
France,71,8.07,119.0,643801.0,54123364.0,110.05,1.1,82.5,24.2
Georgia,41,5.2,57.0,69700.0,2196476.0,133.61,4.9,73.6,21.7
Germany,67,8.8,240.0,357022.0,64324835.0,112.85,1.4,80.9,11.5
Ghana,15,6.43,137.0,238533.0,17249054.0,268.36,7.2,63.8,12.6
Greece,35,7.97,81.0,131957.0,8507474.0,101.87,0.2,81.3,26.2
Guatemala,6,4.68,167.0,108889.0,8540945.0,142.92,3.7,74.1,10.6
Honduras,20,5.15,89.0,112090.0,5626433.0,150.34,4.4,75.1,17.3
Hungary,80,6.64,107.0,93028.0,6999582.0,121.64,3.3,75.8,23.0
Iceland,60,9.52,3.0,103000.0,339110.0,129.0,3.0,82.7,23.3
India,48,7.04,464.0,3287263.0,471031528.0,180.44,7.7,69.4,11.2
Indonesia,14,6.71,151.0,1904569.0,151509724.0,151.18,3.0,71.5,10.2
Iran,41,1.96,52.0,1648195.0,62509623.0,550.93,39.9,76.5,7.4
Iraq,31,3.13,93.0,438317.0,27783368.0,119.86,0.4,70.5,2.0
Israel,54,7.93,400.0,20770.0,8374393.0,108.15,0.8,82.8,23.1
Italy,76,7.69,206.0,301340.0,42651966.0,110.62,0.6,82.9,24.3
Jamaica,39,7.13,273.0,10991.0,1650594.0,162.47,3.9,74.4,26.8
Japan,46,8.33,347.0,377944.0,115782416.0,105.48,0.5,84.2,11.9
Jordan,30,3.17,115.0,89342.0,9213048.0,125.6,0.8,74.4,15.1
Kazakhstan,20,3.08,7.0,2724900.0,10652915.0,182.75,5.2,73.2,11.7
Kenya,25,5.05,94.0,580367.0,14461523.0,180.51,4.7,66.3,15.1
Kuwait,25,3.83,240.0,17818.0,4207083.0,126.6,1.1,75.4,1.4
Latvia,70,7.37,30.0,64589.0,1304943.0,116.86,2.8,74.7,22.9
Lebanon,43,3.64,667.0,10400.0,6084994.0,130.02,3.0,78.9,15.3
Libya,35,2.06,4.0,1759540.0,5448597.0,125.71,2.6,72.7,
Lithuania,60,7.31,43.0,65300.0,1891013.0,118.38,2.3,75.7,16.9
Luxembourg,60,8.81,242.0,2586.0,565488.0,115.09,1.7,82.1,26.5
Malawi,30,5.91,203.0,118484.0,3199301.0,418.34,9.4,63.8,17.3
Malaysia,26,7.3,99.0,329847.0,24475766.0,121.46,0.7,76.0,12.0
Malta,59,7.7,1380.0,316.0,475902.0,113.45,1.6,82.3,26.2
Mexico,30,5.25,66.0,1964375.0,102626859.0,141.54,3.6,75.0,13.1
Moldova,27,6.23,123.0,33851.0,1135502.0,166.2,4.8,71.8,17.7
Mongolia,65,6.35,2.0,1564116.0,2210626.0,195.76,7.3,69.7,16.8
Montenegro,24,6.45,47.0,13812.0,417765.0,116.32,2.6,76.8,
Morocco,46,5.04,83.0,446550.0,22975026.0,111.07,0.2,76.5,21.9
Mozambique,15,3.51,40.0,799380.0,11092106.0,182.31,2.8,60.2,0.0
Namibia,30,6.52,3.0,824292.0,1273258.0,157.97,3.7,63.4,27.1
Nepal,30,4.49,203.0,147181.0,5765513.0,188.73,5.6,70.5,20.7
Netherlands,80,9.0,508.0,41543.0,15924729.0,115.91,2.6,81.8,23.0
New Zealand,79,9.61,18.0,268838.0,4258860.0,114.24,1.6,81.9,29.0
Nigeria,30,4.23,226.0,923768.0,102806948.0,267.51,11.4,54.3,1.5
North Macedonia,22,6.1,83.0,25713.0,,,,,
Norway,69,9.81,15.0,323802.0,4418218.0,120.27,2.2,82.8,23.9
Pakistan,14,4.13,287.0,796095.0,79927762.0,182.32,10.6,67.1,9.2
Panama,11,6.91,58.0,75420.0,2890084.0,122.07,-0.4,78.3,
Paraguay,12,5.89,18.0,406752.0,4359150.0,143.82,2.8,74.1,10.0
Peru,16,5.92,26.0,1285216.0,25390339.0,129.78,2.1,76.5,14.3
Philippines,32,6.73,368.0,300000.0,50975903.0,129.61,2.5,71.1,14.0
Poland,60,7.04,124.0,312685.0,22796574.0,114.11,2.2,77.6,17.4
Portugal,27,7.95,111.0,92212.0,6753579.0,110.62,0.3,81.3,22.8
Qatar,25,3.65,248.0,11586.0,2809071.0,115.38,-0.7,80.1,14.7
Romania,30,6.45,84.0,238391.0,10468793.0,123.78,3.8,75.4,14.6
Russia,39,2.28,9.0,17098240.0,107683889.0,180.75,4.5,72.7,11.4
Saudi Arabia,48,2.08,16.0,2149690.0,28807838.0,118.4,-1.2,75.0,8.9
Senegal,25,5.72,87.0,196722.0,7765706.0,109.25,1.8,67.7,16.3
Serbia,25,6.33,100.0,77474.0,3907243.0,144.0,1.8,75.5,18.6
Sierra Leone,20,5.03,111.0,71740.0,3319366.0,234.16,14.8,54.3,8.6
Singapore,20,6.22,8358.0,716.0,5703569.0,114.41,0.6,83.1,13.1
Slovakia,52,7.07,114.0,49035.0,2930419.0,115.34,2.7,77.2,18.7
Slovenia,27,7.75,103.0,20273.0,1144654.0,111.05,1.6,81.0,18.6
South Africa,65,7.05,49.0,1219090.0,39149717.0,158.93,4.1,63.9,27.5
South Korea,18,8.03,527.0,99720.0,42106719.0,115.16,0.4,82.6,15.6
Spain,51,8.07,94.0,505370.0,37927409.0,110.96,0.7,83.3,14.2
Sri Lanka,35,6.47,341.0,65610.0,4052088.0,155.53,3.5,76.8,11.9
Suriname,47,6.95,4.0,163820.0,384258.0,294.66,22.0,71.6,19.5
Sweden,71,9.39,25.0,450295.0,9021165.0,110.51,1.8,82.5,27.9
Switzerland,68,9.14,219.0,41277.0,6332428.0,99.55,0.4,83.6,10.1
Syria,35,1.43,95.0,185180.0,9358019.0,143.2,36.7,71.8,14.2
Tanzania,25,5.1,67.0,947300.0,20011885.0,187.43,3.5,65.0,11.5
Thailand,20,6.67,137.0,513120.0,35294600.0,113.27,0.7,76.9,14.9
Trinidad and Tobago,16,7.16,273.0,5128.0,741944.0,141.75,1.0,73.4,19.5
Tunisia,40,5.51,76.0,163610.0,8099061.0,155.33,6.7,76.5,21.1
Turkey,37,4.35,110.0,783562.0,63097818.0,234.44,15.2,77.4,17.9
Ukraine,25,5.42,75.0,603550.0,30835699.0,281.66,7.9,71.6,20.1
United Arab Emirates,36,2.9,118.0,83600.0,8479744.0,114.52,-1.9,77.8,0.1
United Kingdom,89,8.28,281.0,243610.0,55908316.0,119.62,1.7,81.3,25.5
United States,91,7.85,36.0,9833517.0,270663028.0,117.24,7.5,78.5,9.6
Uruguay,36,8.91,20.0,176215.0,3303394.0,202.92,7.9,77.8,20.1
Venezuela,12,2.23,32.0,912050.0,25162368.0,2740.27,254.9,72.1,
Vietnam,20,2.73,314.0,331210.0,35332140.0,163.52,2.8,75.3,19.1
Zambia,35,5.8,25.0,752618.0,7871713.0,212.31,9.2,63.5,16.2
